first-name,last-name,team,jersey,position,Bdate,height,caps,goals,match_red_card
Ever,BANEGA ,Argentina,7,Midfielder,29-Jun-88,175,65,6,0
Viktor,CLAESSON ,Sweden,17,Midfielder,2-Jan-92,183,27,3,0
Achraf,HAKIMI ,Morocco,2,Defender,4-Nov-98,179,15,1,0
Massimo,LUONGO ,Australia,8,Midfielder,25-Sep-92,176,36,5,null
PAULINHO, ,Brazil,15,Midfielder,25-Jul-88,181,55,13,0
Naomichi,UEDA ,Japan,2,Defender,24-Oct-94,186,4,0,null
HONG,Chul ,Korea Republic,14,Defender,17-Sep-90,176,16,0,0
GELSON,MARTINS ,Portugal,18,Forward,11-May-95,173,19,0,0
Anice,BADRI ,Tunisia,9,Midfielder,18-Sep-90,178,13,3,0
Sergio,RAMOS ,Spain,15,Defender,30-Mar-86,183,156,13,0
Farouk,BEN MUSTAPHA,Tunisia,1,Goalkeeper,1-Jul-89,192,16,0,0
Dusko,TOSIC ,Serbia,3,Defender,19-Jan-85,185,26,1,0
Marcelo,BROZOVIC ,Croatia,11,Midfielder,16-Nov-92,181,41,6,0
Hector,MORENO ,Mexico,15,Defender,17-Jan-88,182,95,3,0
Nabil,FEKIR ,France,18,Forward,18-Jul-93,173,18,2,0
MANUEL,FERNANDES ,Portugal,4,Midfielder,5-Feb-86,174,15,3,0
Ahmed,MUSA ,Nigeria,7,Forward,14-Oct-92,173,73,15,0
Ryota,OHSHIMA ,Japan,18,Midfielder,23-Jan-93,168,5,0,null
Mats,HUMMELS ,Germany,5,Defender,16-Dec-88,192,66,5,0
Ghanem,SAISS ,Morocco,6,Defender,26-Mar-90,190,28,2,0
Pejman,MONTAZERI ,IR Iran,15,Defender,6-Sep-83,185,46,1,null
RENATO,AUGUSTO ,Brazil,8,Midfielder,8-Feb-88,186,31,6,0
Carlos,SALCEDO ,Mexico,3,Defender,29-Sep-93,189,25,0,0
Stephan,LICHTSTEINER ,Switzerland,2,Defender,16-Jan-84,181,103,8,0
Juan,QUINTERO ,Colombia,20,Midfielder,18-Jan-93,169,19,3,0
Dele,ALLI ,England,20,Midfielder,11-Apr-96,188,30,3,0
Isaac,Kiese THELIN,Sweden,22,Forward,24-Jun-92,189,24,2,0
Syam,BEN YOUSSEF,Tunisia,2,Defender,31-Mar-89,189,44,1,0
Blas,PEREZ ,Panama,7,Forward,13-Mar-81,187,119,43,0
WILLIAM, ,Portugal,14,Midfielder,7-Apr-92,190,47,2,0
FAGNER, ,Brazil,22,Defender,11-Jun-89,168,8,0,0
Angel,DI MARIA,Argentina,11,Midfielder,14-Feb-88,178,97,20,0
Manuel,NEUER ,Germany,1,Goalkeeper,27-Mar-86,193,79,0,0
Frederik,RONNOW ,Denmark,22,Goalkeeper,4-Aug-92,190,6,0,null
MARIO,RUI ,Portugal,19,Defender,27-May-91,168,4,0,null
Ali,MAALOUL ,Tunisia,12,Defender,1-Jan-90,170,49,8,0
Nick,POPE ,England,23,Goalkeeper,19-Apr-92,191,1,0,null
Wilfredo,CABALLERO ,Argentina,23,Goalkeeper,28-Sep-81,186,5,0,0
Alphonse,AREOLA ,France,23,Goalkeeper,27-Feb-93,195,0,0,null
Milan,RODIC ,Serbia,14,Defender,2-Apr-91,185,1,0,null
SAM,MORSY ,Egypt,5,Midfielder,10-Sep-91,173,6,0,0
Saifeddine,KHAOUI ,Tunisia,7,Forward,27-Apr-95,180,6,0,0
Cristian,RODRIGUEZ ,Uruguay,7,Midfielder,30-Sep-85,178,110,11,0
Jonathan,DOS SANTOS,Mexico,6,Midfielder,26-Apr-90,173,38,0,0
LEE,Jaesung ,Korea Republic,17,Midfielder,10-Aug-92,180,38,6,0
CRISTIANO,RONALDO ,Portugal,7,Forward,5-Feb-85,185,154,85,0
