first-name,last-name,team,jersey,position,Bdate,height,caps,goals,match_red_card
Milos,VELJKOVIC ,Serbia,13,Defender,26-Sep-95,188,3,0,0
Mateo,KOVACIC ,Croatia,8,Midfielder,6-May-94,178,46,1,0
Danny,VUKOVIC ,Australia,18,Goalkeeper,27-Mar-85,187,1,0,null
Kamil,GLIK ,Poland,15,Defender,3-Feb-88,190,60,4,0
Miguel,LAYUN ,Mexico,7,Midfielder,25-Jun-88,180,68,6,0
SAUL, ,Spain,7,Midfielder,21-Nov-94,183,10,0,null
Jose,IZQUIERDO ,Colombia,21,Forward,7-Jul-92,171,6,1,0
SALEM,ALDAWSARI ,Saudi Arabia,18,Midfielder,19-Aug-91,174,34,5,0
Duje,CALETA-CAR ,Croatia,15,Defender,17-Sep-96,192,2,0,0
Francisco,CALVO ,Costa Rica,15,Defender,8-Jul-92,180,38,4,0
JOAO,MOUTINHO ,Portugal,8,Midfielder,8-Sep-86,170,113,7,0
Julian,BRANDT ,Germany,20,Midfielder,2-May-96,183,19,1,0
KI,Sungyueng ,Korea Republic,16,Midfielder,24-Jan-89,186,104,10,0
Youssef,EN NESYRI,Morocco,19,Forward,1-Jun-97,188,17,3,0
Domagoj,VIDA ,Croatia,21,Defender,29-Apr-89,184,65,3,0
AMR,WARDA ,Egypt,22,Forward,17-Sep-93,179,20,0,0
Jonas,LOSSL ,Denmark,16,Goalkeeper,1-Feb-89,195,1,0,null
Haris,SEFEROVIC ,Switzerland,9,Forward,22-Feb-92,186,54,12,0
Eric,DAVIS ,Panama,15,Defender,31-Mar-91,180,40,0,0
Andy,POLO ,Peru,14,Midfielder,29-Sep-94,174,17,1,null
Grzegorz,KRYCHOWIAK ,Poland,10,Midfielder,29-Jan-90,186,54,3,0
SALMAN,ALFARAJ ,Saudi Arabia,7,Midfielder,1-Aug-89,179,42,3,0
Gabriel,MERCADO ,Argentina,2,Defender,18-Mar-87,181,23,4,0
Carlos,BACCA ,Colombia,7,Forward,8-Sep-86,181,48,14,0
Gustav,SVENSSON ,Sweden,13,Midfielder,7-Feb-87,183,16,0,0
James,RODRIGUEZ ,Colombia,10,Midfielder,12-Jul-91,180,66,21,0
Adnan,JANUZAJ ,Belgium,18,Forward,5-Feb-95,180,9,1,0
Cesar,AZPILICUETA ,Spain,14,Defender,28-Aug-89,178,22,0,null
Robert,LEWANDOWSKI ,Poland,9,Forward,21-Aug-88,185,98,55,0
Maximiliano,MEZA ,Argentina,13,Midfielder,15-Dec-92,180,6,0,0
Roman,ZOBNIN ,Russia,11,Midfielder,11-Feb-94,185,17,0,0
Rashid,MAZAHERI ,IR Iran,12,Goalkeeper,18-May-89,192,3,0,null
JUNG,Wooyoung ,Korea Republic,15,Midfielder,14-Dec-89,186,32,1,0
YASSER,ALMOSAILEM ,Saudi Arabia,21,Goalkeeper,27-Feb-84,186,33,0,0
Thibaut,COURTOIS ,Belgium,1,Goalkeeper,11-May-92,199,65,0,0
Predrag,RAJKOVIC ,Serbia,12,Goalkeeper,31-Oct-95,191,8,0,null
Raul,RUIDIAZ ,Peru,11,Forward,25-Jul-90,169,32,4,0
Mathias,JORGENSEN ,Denmark,13,Defender,23-Apr-90,191,15,1,0
Giancarlo,GONZALEZ ,Costa Rica,3,Defender,8-Feb-88,186,71,2,0
Fedor,KUDRIASHOV ,Russia,13,Defender,5-Apr-87,187,23,0,0
Moussa,SOW ,Senegal,7,Forward,19-Jan-86,180,46,19,null
Alfred,FINNBOGASON ,Iceland,11,Forward,1-Feb-89,185,50,14,0
Ragnar,SIGURDSSON ,Iceland,6,Defender,19-Jun-86,187,80,3,0
Moussa,WAGUE ,Senegal,22,Defender,4-Oct-98,177,10,1,0
Chidozie,AWAZIEM ,Nigeria,20,Defender,1-Jan-97,192,3,0,null
Lasse,SCHONE ,Denmark,19,Midfielder,27-May-86,178,39,3,0
Aleksandr,EROKHIN ,Russia,21,Midfielder,13-Oct-89,191,19,0,0
Andrei,LUNEV ,Russia,12,Goalkeeper,13-Nov-91,189,3,0,null
Takashi,USAMI ,Japan,11,Midfielder,6-May-92,178,26,3,0
Rodrigo,BENTANCUR ,Uruguay,6,Midfielder,25-Jun-97,187,12,0,0
Aziz,BEHICH ,Australia,16,Defender,16-Dec-90,170,26,2,0
Jan,BEDNAREK ,Poland,5,Defender,12-Apr-96,189,6,1,0
KIM,Shinwook ,Korea Republic,9,Forward,14-Apr-88,197,51,10,0
Slawomir,PESZKO ,Poland,17,Midfielder,19-Feb-85,173,44,2,0
Roman,TORRES ,Panama,5,Defender,20-Mar-86,188,111,10,0
Sime,VRSALJKO ,Croatia,2,Defender,10-Jan-92,181,41,0,0
Lionel,MESSI ,Argentina,10,Forward,24-Jun-87,170,128,65,0
Yury,ZHIRKOV ,Russia,18,Midfielder,20-Aug-83,180,87,2,0
Mouez,HASSEN ,Tunisia,22,Goalkeeper,5-Mar-95,186,4,0,0
Keisuke,HONDA ,Japan,4,Midfielder,13-Jun-86,182,98,37,0
Felipe,BALOY ,Panama,23,Defender,24-Feb-81,185,101,4,0
Gaku,SHIBASAKI ,Japan,7,Midfielder,28-May-92,175,22,3,0
Yoshimar,YOTUN ,Peru,19,Midfielder,7-Apr-90,172,76,2,0
Gerard,PIQUE ,Spain,3,Defender,2-Feb-87,194,102,5,0
Tomoaki,MAKINO ,Japan,20,Defender,11-May-87,182,33,4,0
Ehsan,HAJI SAFI,IR Iran,3,Defender,25-Feb-90,178,97,6,0
Patrick,PEMBERTON ,Costa Rica,18,Goalkeeper,24-Apr-82,178,39,0,null
Vahid,AMIRI ,IR Iran,11,Midfielder,2-Apr-88,179,39,1,0
Ayoub,EL KAABI,Morocco,9,Forward,25-Jun-93,182,5,2,0
Trent,SAINSBURY ,Australia,20,Defender,5-Jan-92,183,38,3,0
Pedro,GALLESE ,Peru,1,Goalkeeper,23-Feb-90,189,42,0,0
Rafal,KURZAWA ,Poland,21,Midfielder,29-Jan-93,182,4,0,0
Axel,WITSEL ,Belgium,6,Midfielder,12-Jan-89,186,96,9,0
Bjorn,SIGURDARSON ,Iceland,9,Forward,26-Feb-91,187,16,1,0
Marcos,ACUNA ,Argentina,8,Defender,28-Oct-91,172,11,0,0
Vladimir,GRANAT ,Russia,14,Defender,22-May-87,184,13,1,0
Carlos,CACEDA ,Peru,12,Goalkeeper,27-Sep-91,184,6,0,null
Kendall,WASTON ,Costa Rica,19,Defender,1-Jan-88,196,26,3,0
MARQUINHOS, ,Brazil,13,Defender,14-May-94,183,27,0,0
Vladimir,GABULOV ,Russia,20,Goalkeeper,19-Oct-83,190,10,0,null
Brad,JONES ,Australia,12,Goalkeeper,19-Mar-82,193,6,0,null
Jordan,HENDERSON ,England,8,Midfielder,17-Jun-90,183,44,0,0
Presnel,KIMPEMBE ,France,3,Defender,13-Aug-95,182,3,0,0
Jose,CALDERON ,Panama,12,Goalkeeper,14-Aug-85,187,32,0,null
Andres,GUARDADO ,Mexico,18,Midfielder,28-Sep-86,167,151,25,0
MOON,Seonmin ,Korea Republic,18,Midfielder,9-Jun-92,172,5,1,0
ABDULLAH,ALKHAIBARI ,Saudi Arabia,15,Midfielder,16-Aug-96,175,5,0,null
Jonathan,URRETAVISCAYA ,Uruguay,20,Forward,19-Mar-90,172,5,0,0
Luka,MODRIC ,Croatia,10,Midfielder,9-Sep-85,172,113,14,0
Mehdi,TAREMI ,IR Iran,17,Forward,18-Jul-92,187,29,11,0
Henrik,DALSGAARD ,Denmark,14,Defender,27-Jul-89,190,15,0,0
William,KVIST ,Denmark,7,Midfielder,24-Feb-85,185,81,2,0
Alexander,SAMEDOV ,Russia,19,Midfielder,19-Jul-84,178,53,7,0
Mario,GAVRANOVIC ,Switzerland,18,Forward,24-Nov-89,175,16,5,0
Sofyan,AMRABAT ,Morocco,21,Midfielder,21-Aug-96,183,7,0,0
MOHAMED,ABDELSHAFY ,Egypt,13,Defender,1-Jul-85,171,55,2,0
Hamza,MENDYL ,Morocco,3,Defender,21-Oct-97,179,16,0,null
Bryan,RUIZ ,Costa Rica,10,Midfielder,18-Aug-85,187,112,24,0
Milos,DEGENEK ,Australia,2,Defender,28-Apr-94,187,18,0,null
Alireza,JAHANBAKHSH ,IR Iran,18,Forward,11-Aug-93,180,41,4,0
Sergio,AGUERO ,Argentina,19,Forward,2-Jun-88,172,89,39,0
Matias,VECINO ,Uruguay,15,Midfielder,24-Aug-91,189,27,1,0
Luka,JOVIC ,Serbia,19,Forward,23-Dec-97,181,2,0,0
Karim,EL AHMADI,Morocco,8,Midfielder,27-Jan-85,179,55,1,0
Aleksandar,KOLAROV ,Serbia,11,Defender,10-Nov-85,187,79,11,0
RAPHAEL,GUERREIRO ,Portugal,5,Defender,22-Dec-93,170,28,2,0
Randall,AZOFEIFA ,Costa Rica,14,Midfielder,30-Dec-84,182,60,3,0
Ali,BEIRANVAND ,IR Iran,1,Goalkeeper,21-Sep-92,194,25,0,0
Cristian,ANSALDI ,Argentina,4,Defender,20-Sep-86,181,5,1,null
Viktor,FISCHER ,Denmark,15,Forward,9-Jun-94,181,20,3,0
RICARDO, ,Portugal,15,Defender,6-Oct-93,174,5,0,0
Andreas,CHRISTENSEN ,Denmark,6,Defender,10-Apr-96,192,20,1,0
Luis,MURIEL ,Colombia,14,Forward,16-Apr-91,178,20,2,0
YUN,Youngsun ,Korea Republic,5,Defender,4-Oct-88,185,7,0,0
Lukas,LERAGER ,Denmark,18,Midfielder,12-Jul-93,186,5,0,0
Oussama,HADDADI ,Tunisia,5,Defender,28-Jan-92,185,9,1,0
Daniel,ARZANI ,Australia,17,Forward,4-Jan-99,171,5,1,0
Ari,SKULASON ,Iceland,23,Defender,14-May-87,170,58,0,0
ALI,GABR ,Egypt,2,Defender,1-Jan-89,191,25,1,0
Camilo,VARGAS ,Colombia,12,Goalkeeper,9-Mar-89,185,5,0,null
Paulo,DYBALA ,Argentina,21,Forward,15-Nov-93,177,13,0,0
FILIPE,LUIS ,Brazil,6,Defender,9-Aug-85,182,35,2,0
Nikola,MILENKOVIC ,Serbia,15,Defender,12-Oct-97,195,6,0,0
Fedor,SMOLOV ,Russia,10,Forward,9-Feb-90,185,37,12,0
Olafur,SKULASON ,Iceland,16,Midfielder,1-Apr-83,184,36,1,null
ALI,ALBULAYHI ,Saudi Arabia,4,Defender,21-Nov-89,182,5,0,0
Javier,MASCHERANO ,Argentina,14,Defender,8-Jun-84,174,147,3,0
Diego,GODIN ,Uruguay,3,Defender,16-Feb-86,185,121,8,0
Radamel,FALCAO ,Colombia,9,Forward,10-Feb-86,177,69,30,0
Jaime,PENEDO ,Panama,1,Goalkeeper,26-Sep-81,183,134,0,0
Roozbeh,CHESHMI ,IR Iran,4,Defender,24-Jul-93,192,10,1,0
Kristoffer,NORDFELDT ,Sweden,23,Goalkeeper,23-Jun-89,190,8,0,null
Marko,DMITROVIC ,Serbia,23,Goalkeeper,24-Jan-92,194,2,0,null
Johnny,ACOSTA ,Costa Rica,2,Defender,21-Jul-83,176,69,2,0
Ruben,LOFTUS-CHEEK ,England,21,Midfielder,23-Jan-96,190,8,0,0
Igor,AKINFEEV ,Russia,1,Goalkeeper,8-Apr-86,185,111,0,0
TAISEER,ALJASSAM ,Saudi Arabia,17,Midfielder,25-Jul-84,169,134,19,0
Joel,OBI ,Nigeria,15,Midfielder,22-May-91,177,17,0,null
Kari,ARNASON ,Iceland,14,Defender,13-Oct-82,191,69,5,0
Majid,HOSSEINI ,IR Iran,19,Defender,20-Jun-96,183,4,0,0
Marko,GRUJIC ,Serbia,16,Midfielder,13-Apr-96,190,7,0,null
SON,Heungmin ,Korea Republic,7,Forward,8-Jul-92,183,70,23,0
Lukasz,PISZCZEK ,Poland,20,Defender,3-Jun-85,184,65,3,0
Pepe,REINA ,Spain,23,Goalkeeper,31-Aug-82,188,36,0,null
Federico,FAZIO ,Argentina,6,Defender,17-Mar-87,199,10,1,0
Yannick,CARRASCO ,Belgium,11,Midfielder,4-Sep-93,180,30,5,0
Carlos,VELA ,Mexico,11,Forward,1-Mar-89,178,72,19,0
ISCO, ,Spain,22,Midfielder,21-Apr-92,176,32,11,0
Moussa,KONATE ,Senegal,14,Forward,3-Apr-93,180,28,9,0
Wojciech,SZCZESNY ,Poland,1,Goalkeeper,18-Apr-90,195,37,0,0
Elderson,ECHIEJILE ,Nigeria,3,Defender,20-Jan-88,185,59,2,null
Blaise,MATUIDI ,France,14,Midfielder,9-Apr-87,180,72,9,0
ANDRE,SILVA ,Portugal,9,Forward,6-Nov-95,184,25,12,0
Danny,WELBECK ,England,14,Forward,26-Nov-90,184,40,16,0
Sergey,IGNASHEVICH ,Russia,4,Defender,14-Jul-79,186,127,9,0
Wilder,CARTAGENA ,Peru,16,Midfielder,23-Sep-94,179,4,0,0
FERNANDINHO, ,Brazil,17,Midfielder,4-May-85,179,49,2,0
Benjamin,MENDY ,France,22,Defender,17-Jul-94,183,8,0,0
Simon,KJAER ,Denmark,4,Defender,26-Mar-89,191,79,3,0
AYMAN,ASHRAF ,Egypt,12,Defender,9-Apr-91,176,3,1,null
Ismael,DIAZ ,Panama,10,Forward,12-May-97,181,9,2,0
Armando,COOPER ,Panama,11,Midfielder,26-Nov-87,173,99,7,0
Sebastian,COATES ,Uruguay,19,Defender,7-Oct-90,196,31,1,0
Lukasz,FABIANSKI ,Poland,22,Goalkeeper,18-Apr-85,190,46,0,0
HUSSAIN,ALMOQAHWI ,Saudi Arabia,16,Midfielder,24-Mar-88,174,18,1,0
Ricardo,RODRIGUEZ ,Switzerland,13,Defender,25-Aug-92,180,57,5,0
Bassem,SRARFI ,Tunisia,18,Forward,25-Jun-97,176,6,0,0
Nacer,CHADLI ,Belgium,22,Midfielder,2-Aug-89,187,51,6,0
Joshua,RISDON ,Australia,19,Defender,27-Jul-92,169,11,0,0
Romelu,LUKAKU ,Belgium,9,Forward,13-May-93,190,75,40,0
Ogenyi,ONAZI ,Nigeria,17,Midfielder,25-Dec-92,172,50,1,null
Fernando,MUSLERA ,Uruguay,1,Goalkeeper,16-Jun-86,190,102,0,0
Edgar,BARCENAS ,Panama,8,Midfielder,23-Oct-93,175,32,0,0
MAHMOUD,HAMDY ,Egypt,15,Defender,1-Jun-95,173,1,0,null
ABDULLAH,ALMUAIOUF ,Saudi Arabia,1,Goalkeeper,23-Jan-87,178,9,0,0
Ikechukwu,EZENWA ,Nigeria,1,Goalkeeper,16-Oct-88,181,24,0,null
ABDALLA,SAID ,Egypt,19,Midfielder,13-Jul-85,176,41,6,0
Jimmy,DURMAZ ,Sweden,21,Midfielder,22-Mar-89,180,46,3,0
RUBEN,DIAS ,Portugal,13,Defender,14-May-97,187,1,0,null
Mehdi,BENATIA ,Morocco,5,Defender,17-Apr-87,188,62,4,0
FRED, ,Brazil,18,Midfielder,5-Mar-93,169,8,0,null
Gary,CAHILL ,England,15,Defender,19-Dec-85,191,61,5,0
Mbark,BOUSSOUFA ,Morocco,14,Midfielder,15-Aug-84,167,64,7,0
OMAR,GABER ,Egypt,4,Midfielder,30-Jan-92,175,24,0,null
MARWAN,MOHSEN ,Egypt,9,Forward,26-Feb-89,185,25,4,0
JANG,Hyunsoo ,Korea Republic,20,Defender,28-Sep-91,187,54,3,0
Saman,GHODDOS ,IR Iran,14,Forward,6-Sep-93,177,11,1,0
Oscar,MURILLO ,Colombia,3,Defender,18-Apr-88,184,14,0,0
Alfred,GOMIS ,Senegal,23,Goalkeeper,5-Sep-93,196,5,0,null
John,OGU ,Nigeria,19,Midfielder,20-Apr-88,191,19,2,null
Holmar,EYJOLFSSON ,Iceland,15,Defender,6-Aug-90,188,10,1,null
Mikael,LUSTIG ,Sweden,2,Defender,13-Dec-86,189,70,6,0
Paul,POGBA ,France,6,Midfielder,15-Mar-93,191,60,10,0
Sami,KHEDIRA ,Germany,6,Midfielder,4-Apr-87,189,77,7,0
Masaaki,HIGASHIGUCHI ,Japan,12,Goalkeeper,12-May-86,184,5,0,null
Lucas,TORREIRA ,Uruguay,14,Midfielder,11-Feb-96,168,8,0,0
Kosuke,NAKAMURA ,Japan,23,Goalkeeper,27-Feb-95,184,4,0,null
Thomas,MEUNIER ,Belgium,15,Defender,12-Sep-91,190,30,6,0
RODRIGO, ,Spain,9,Forward,6-Mar-91,182,9,2,0
Saber,KHALIFA ,Tunisia,19,Forward,14-Oct-86,185,45,7,0
Marc-Andre,TER STEGEN,Germany,22,Goalkeeper,30-Apr-92,187,20,0,null
PEPE, ,Portugal,3,Defender,26-Feb-83,188,99,6,0
Mame,DIOUF ,Senegal,9,Forward,16-Dec-87,185,46,10,0
Aldo,CORZO ,Peru,3,Defender,20-May-89,172,24,0,null
Jakub,BLASZCZYKOWSKI ,Poland,16,Midfielder,14-Dec-85,175,100,20,0
Jordi,ALBA ,Spain,18,Defender,21-Mar-89,170,66,8,0
Jerome,BOATENG ,Germany,17,Defender,3-Sep-88,192,73,1,1
Filip,BRADARIC ,Croatia,14,Midfielder,11-Jan-92,186,5,0,0
Moussa,DEMBELE ,Belgium,19,Midfielder,16-Jul-87,185,80,5,0
Yuya,OSAKO ,Japan,15,Forward,18-May-90,182,33,8,0
Gabriel,GOMEZ ,Panama,6,Midfielder,29-May-84,183,145,11,0
Keita,BALDE ,Senegal,20,Forward,8-Mar-95,181,19,3,0
Robin,OLSEN ,Sweden,1,Goalkeeper,8-Jan-90,198,23,0,0
Ousmane,DEMBELE ,France,11,Forward,15-May-97,178,16,2,0
Hector,HERRERA ,Mexico,16,Defender,19-Apr-90,180,70,5,0
Mehdi,CARCELA ,Morocco,23,Midfielder,1-Jul-89,176,22,1,0
Mario,MANDZUKIC ,Croatia,17,Forward,21-May-86,190,89,33,0
Abel,AGUILAR ,Colombia,8,Midfielder,6-Jan-85,185,70,8,0
Eiji,KAWASHIMA ,Japan,1,Goalkeeper,20-Mar-83,185,88,0,0
Pione,SISTO ,Denmark,23,Forward,4-Feb-95,173,18,1,0
Nico,ELVEDI ,Switzerland,4,Defender,30-Sep-96,187,6,0,null
Mark,MILLIGAN ,Australia,5,Defender,4-Aug-85,178,71,6,0
Karl-Johan,JOHNSSON ,Sweden,12,Goalkeeper,28-Jan-90,187,5,0,null
Aaron,MOOY ,Australia,13,Midfielder,15-Sep-90,173,37,5,0
Dylan,BRONN ,Tunisia,11,Defender,19-Jun-95,186,7,1,0
Oscar,HILJEMARK ,Sweden,15,Midfielder,28-Jun-92,184,24,2,0
YAHIA,ALSHEHRI ,Saudi Arabia,8,Midfielder,26-Jun-90,165,58,7,0
Marcus,ROHDEN ,Sweden,19,Midfielder,11-May-91,182,12,1,null
Julian,DRAXLER ,Germany,7,Midfielder,20-Sep-93,185,46,6,0
Fabian,DELPH ,England,17,Defender,21-Nov-89,174,15,0,0
TAISON, ,Brazil,21,Forward,13-Jan-88,172,8,1,null
Maciej,RYBUS ,Poland,13,Midfielder,19-Aug-89,173,53,2,0
KAHRABA, ,Egypt,11,Forward,13-Apr-94,182,25,3,0
Nahitan,NANDEZ ,Uruguay,8,Midfielder,28-Dec-95,171,17,0,0
Djibril,SIDIBE ,France,19,Defender,29-Jul-92,184,18,1,0
Lamine,GASSAMA ,Senegal,21,Defender,20-Oct-89,181,40,0,0
Tom,ROGIC ,Australia,23,Midfielder,16-Dec-92,189,40,7,0
Wahbi,KHAZRI ,Tunisia,10,Forward,8-Feb-91,182,39,14,0
Marko,PJACA ,Croatia,20,Forward,6-May-95,186,19,1,0
Gonzalo,HIGUAIN ,Argentina,9,Forward,10-Dec-87,184,75,31,0
Paolo,HURTADO ,Peru,7,Midfielder,27-Jul-90,174,34,3,0
Jack,BUTLAND ,England,13,Goalkeeper,10-Mar-93,196,8,0,null
Kamil,GROSICKI ,Poland,11,Midfielder,8-Jun-88,180,60,12,0
Abdullahi,SHEHU ,Nigeria,12,Defender,12-Mar-93,182,16,0,0
Timo,WERNER ,Germany,9,Forward,6-Mar-96,181,17,8,0
Adolfo,MACHADO ,Panama,13,Defender,14-Feb-85,182,77,1,0
Idrissa,Gana GUEYE,Senegal,5,Midfielder,26-Sep-89,174,58,1,0
JU,Sejong ,Korea Republic,8,Midfielder,30-Oct-90,176,12,1,0
Ivan,PERISIC ,Croatia,4,Forward,2-Feb-89,186,73,21,0
Raul,JIMENEZ ,Mexico,9,Forward,5-May-91,188,65,14,0
Anibal,GODOY ,Panama,20,Midfielder,10-Feb-90,183,91,1,0
Lucas,BIGLIA ,Argentina,5,Midfielder,30-Jan-86,175,58,1,0
Johan,MOJICA ,Colombia,17,Defender,21-Aug-92,185,8,1,0
Kalidou,KOULIBALY ,Senegal,3,Defender,20-Jun-91,195,29,1,0
David,OSPINA ,Colombia,1,Goalkeeper,31-Aug-88,183,87,0,0
Hordur,MAGNUSSON ,Iceland,18,Defender,11-Feb-93,191,19,2,0
Hotaru,YAMAGUCHI ,Japan,16,Midfielder,6-Oct-90,173,45,2,0
Matthew,JURMAN ,Australia,6,Defender,8-Dec-89,190,4,0,null
JUNG,Seunghyun ,Korea Republic,3,Defender,3-Apr-94,188,6,0,null
FAHAD,ALMUWALLAD ,Saudi Arabia,19,Forward,14-Sep-94,168,48,10,0
Wilfred,NDIDI ,Nigeria,4,Midfielder,16-Dec-96,184,20,0,0
Emil,FORSBERG ,Sweden,10,Midfielder,23-Oct-91,179,41,7,0
KIM,Minwoo ,Korea Republic,12,Defender,25-Feb-90,172,22,1,0
AHMED,HEGAZY ,Egypt,6,Defender,25-Jan-91,194,48,1,0
Runar,RUNARSSON ,Iceland,13,Goalkeeper,18-Feb-95,186,3,0,null
Youssef,AIT BENNASSER,Morocco,15,Midfielder,7-Jul-96,184,14,0,null
Denis,CHERYSHEV ,Russia,6,Midfielder,26-Dec-90,173,16,4,0
Ferjani,SASSI ,Tunisia,13,Midfielder,18-Mar-92,186,44,4,0
CASSIO, ,Brazil,16,Goalkeeper,6-Jun-87,195,1,0,null
Phil,JONES ,England,16,Defender,21-Feb-92,182,27,0,0
Luka,MILIVOJEVIC ,Serbia,4,Midfielder,7-Apr-91,186,30,1,0
Karim,ANSARIFARD ,IR Iran,10,Forward,3-Apr-90,187,67,19,0
Miguel,ARAUJO ,Peru,5,Defender,24-Oct-94,178,8,0,null
Farid,DIAZ ,Colombia,18,Defender,20-Jul-83,170,13,0,null
Noureddine,AMRABAT ,Morocco,16,Midfielder,31-Mar-87,178,48,4,0
Josip,PIVARIC ,Croatia,22,Defender,30-Jan-89,176,23,0,0
Dries,MERTENS ,Belgium,14,Forward,6-May-87,169,75,15,0
Nicolas,TAGLIAFICO ,Argentina,3,Defender,31-Aug-92,169,8,0,0
Nilson,LOYOLA ,Peru,22,Defender,26-Oct-94,179,3,0,null
Daniel,AKPEYI ,Nigeria,16,Goalkeeper,8-Mar-86,187,6,0,null
GO,Yohan ,Korea Republic,22,Defender,10-Mar-88,170,20,0,0
Harry,KANE ,England,9,Forward,28-Jul-93,188,30,19,0
Thomas,VERMAELEN ,Belgium,3,Defender,14-Nov-85,183,69,1,0
Leon,GORETZKA ,Germany,14,Midfielder,6-Feb-95,189,16,6,0
Kevin,DE BRUYNE,Belgium,7,Midfielder,28-Jun-91,181,68,15,0
Kylian,MBAPPE ,France,10,Forward,20-Dec-98,178,22,8,0
John,GUIDETTI ,Sweden,11,Forward,15-Apr-92,185,22,1,0
Aleksandar,MITROVIC ,Serbia,9,Forward,16-Sep-94,189,41,17,0
Alvaro,ODRIOZOLA ,Spain,12,Defender,14-Dec-95,178,4,1,null
Harold,CUMMINGS ,Panama,3,Defender,1-Mar-92,183,48,0,0
Kasper,SCHMEICHEL ,Denmark,1,Goalkeeper,5-Nov-86,190,39,0,0
Ashkan,DEJAGAH ,IR Iran,21,Forward,5-Jul-86,181,46,9,null
AHMED,FATHI ,Egypt,7,Defender,10-Nov-84,176,131,3,0
Alex,RODRIGUEZ ,Panama,22,Goalkeeper,5-Aug-90,197,6,0,null
Joel,CAMPBELL ,Costa Rica,12,Forward,26-Jun-92,178,79,15,0
Dejan,LOVREN ,Croatia,6,Defender,5-Jul-89,188,46,2,0
Makoto,HASEBE ,Japan,17,Midfielder,18-Jan-84,180,114,2,0
Ngolo,KANTE ,France,13,Midfielder,29-Mar-91,168,31,1,0
Leon,BALOGUN ,Nigeria,6,Defender,28-Jun-88,190,22,0,0
Alberto,RODRIGUEZ ,Peru,2,Defender,31-Mar-84,179,75,0,0
Miguel,BORJA ,Colombia,19,Forward,26-Jan-93,183,8,2,0
Bryan,IDOWU ,Nigeria,2,Defender,18-May-92,179,8,1,0
Artem,DZYUBA ,Russia,22,Forward,22-Aug-88,196,28,14,0
Raphael,VARANE ,France,4,Defender,25-Apr-93,191,49,3,0
THIAGO, ,Spain,10,Midfielder,11-Apr-91,174,31,2,0
Martin,SILVA ,Uruguay,23,Goalkeeper,25-Mar-83,187,11,0,null
Christian,ERIKSEN ,Denmark,10,Midfielder,14-Feb-92,181,82,23,0
Yassine,MERIAH ,Tunisia,4,Defender,2-Jul-93,183,20,1,0
Harry,MAGUIRE ,England,6,Defender,5-Mar-93,193,12,1,0
Marouane,FELLAINI ,Belgium,8,Midfielder,22-Nov-87,194,87,18,0
Simon,MIGNOLET ,Belgium,12,Goalkeeper,6-Mar-88,193,21,0,null
TAREK,HAMED ,Egypt,8,Midfielder,24-Oct-88,169,26,0,0
Celso,BORGES ,Costa Rica,5,Midfielder,27-May-88,187,114,18,0
Hiroki,SAKAI ,Japan,19,Defender,12-Apr-90,183,47,0,0
RICARDO,QUARESMA ,Portugal,20,Forward,26-Sep-83,175,80,10,0
Marco,REUS ,Germany,11,Forward,31-May-89,180,34,10,0
Florian,THAUVIN ,France,20,Forward,26-Jan-93,180,5,0,0
Shinji,OKAZAKI ,Japan,9,Forward,16-Apr-86,174,116,50,0
Albin,EKDAL ,Sweden,8,Midfielder,28-Jul-89,186,39,0,0
Maya,YOSHIDA ,Japan,22,Defender,24-Aug-88,189,86,10,0
JOAO,MARIO ,Portugal,10,Midfielder,19-Jan-93,179,40,2,0
Yussuf,Yurary POULSEN,Denmark,20,Forward,15-Jun-94,193,31,5,0
Martin,CACERES ,Uruguay,22,Defender,7-Apr-87,178,81,4,0
Arnor,TRAUSTASON ,Iceland,21,Midfielder,30-Apr-93,183,20,5,0
Nemanja,RADONJIC ,Serbia,18,Forward,15-Feb-96,185,5,0,0
Yoshinori,MUTO ,Japan,13,Forward,15-Jul-92,179,24,2,0
Cheikh,NDOYE ,Senegal,11,Midfielder,29-Mar-86,192,29,3,0
JOSE,FONTE ,Portugal,6,Defender,22-Dec-83,191,35,0,0
Dani,CARVAJAL ,Spain,2,Defender,11-Jan-92,173,18,0,0
Ashley,YOUNG ,England,18,Defender,9-Jul-85,175,39,7,0
Kepa,ARRIZABALAGA ,Spain,13,Goalkeeper,3-Oct-94,189,1,0,null
PARK,Jooho ,Korea Republic,6,Defender,16-Jan-87,174,37,0,0
Ilkay,GUENDOGAN ,Germany,21,Midfielder,24-Oct-90,180,27,4,0
MOHAMMED,ALOWAIS ,Saudi Arabia,22,Goalkeeper,10-Oct-91,187,7,0,0
Alan,DZAGOEV ,Russia,9,Midfielder,17-Jun-90,178,59,9,0
Mohamed,BEN AMOR,Tunisia,14,Midfielder,3-May-92,180,27,2,0
HATAN,BAHBRI ,Saudi Arabia,9,Midfielder,16-Jul-92,170,8,0,0
NACHO, ,Spain,4,Defender,18-Jan-90,179,19,1,0
Kieran,TRIPPIER ,England,12,Defender,19-Sep-90,178,13,1,0
Aziz,BOUHADDOUZ ,Morocco,20,Forward,30-Mar-87,188,17,3,0
Manuel,AKANJI ,Switzerland,5,Defender,19-Jul-95,186,11,0,0
Ghaylen,CHAALELI ,Tunisia,20,Forward,28-Feb-94,179,7,1,0
MOHAMMED,ALBURAYK ,Saudi Arabia,6,Defender,15-Sep-92,173,12,0,0
