MatchID,Team,Jersey,Time_scored,,
50,France,7,13,,"insert into score_goal values ('France',7,50,13);"
50,France,2,57,,"insert into score_goal values ('France',2,50,57);"
50,France,10,64,,"insert into score_goal values ('France',10,50,64);"
50,France,10,68,,"insert into score_goal values ('France',10,50,68);"
50,Argentina,11,41,,"insert into score_goal values ('Argentina',11,50,41);"
50,Argentina,2,48,,"insert into score_goal values ('Argentina',2,50,48);"
50,Argentina,19,93,,"insert into score_goal values ('Argentina',19,50,93);"
49,Uruguay,21,7,,"insert into score_goal values ('Uruguay',21,49,7);"
49,Uruguay,21,62,,"insert into score_goal values ('Uruguay',21,49,62);"
49,Portugal,3,55,,"insert into score_goal values ('Portugal',3,49,55);"
51,Russia,4,12,,"insert into score_goal values ('Russia',4,51,12);"
51,Russia,22,41,,"insert into score_goal values ('Russia',22,51,41);"
52,Croatia,17,4,,"insert into score_goal values ('Croatia',17,52,4);"
52,Denmark,13,1,,"insert into score_goal values ('Denmark',13,52,1);"
53,Brazil,10,51,,"insert into score_goal values ('Brazil',10,53,51);"
53,Brazil,20,88,,"insert into score_goal values ('Brazil',20,53,88);"
54,Belgium,5,69,,"insert into score_goal values ('Belgium',5,54,69);"
54,Belgium,8,74,,"insert into score_goal values ('Belgium',8,54,74);"
54,Belgium,22,94,,"insert into score_goal values ('Belgium',22,54,94);"
54,Japan,8,48,,"insert into score_goal values ('Japan',8,54,48);"
54,Japan,14,52,,"insert into score_goal values ('Japan',14,54,52);"
55,Sweden,10,66,,"insert into score_goal values ('Sweden',10,55,66);"
56,Colombia,13,93,,"insert into score_goal values ('Colombia',13,56,93);"
56,England,9,57,,"insert into score_goal values ('England',9,56,57);"
57,France,4,40,,"insert into score_goal values ('France',4,57,40);"
57,France,7,61,,"insert into score_goal values ('France',7,57,61);"
58,Brazil,8,76,,"insert into score_goal values ('Brazil',8,58,76);"
58,Brazil,17,13,,"insert into score_goal values ('Brazil',17,58,13);"
58,Belgium,7,31,,"insert into score_goal values ('Belgium',7,58,31);"
60,England,6,30,,"insert into score_goal values ('England',6,60,30);"
60,England,20,59,,"insert into score_goal values ('England',20,60,59);"
59,Russia,6,31,,"insert into score_goal values ('Russia',6,59,31);"
59,Russia,2,115,,"insert into score_goal values ('Russia',2,59,115);"
59,Croatia,9,39,,"insert into score_goal values ('Croatia',9,59,39);"
59,Croatia,21,101,,"insert into score_goal values ('Croatia',21,59,101);"
61,France,5,51,,"insert into score_goal values ('France',5,61,51);"
62,Croatia,4,68,,"insert into score_goal values ('Croatia',4,62,68);"
62,Croatia,17,109,,"insert into score_goal values ('Croatia',17,62,109);"
62,England,12,5,,"insert into score_goal values ('England',12,62,5);"
63,Belgium,15,4,,"insert into score_goal values ('Belgium',15,63,4);"
63,Belgium,10,82,,"insert into score_goal values ('Belgium',10,63,82);"
64,Croatia,17,18,,"insert into score_goal values ('Croatia',17,64,18);"
64,France,7,38,,"insert into score_goal values ('France',7,64,38);"
64,France,6,59,,"insert into score_goal values ('France',6,64,59);"
64,France,10,65,,"insert into score_goal values ('France',10,64,65);"
64,Croatia,4,28,,"insert into score_goal values ('Croatia',4,64,28);"
64,Croatia,17,69,,"insert into score_goal values ('Croatia',17,64,69);"
