player-name,team,jersey,position,Bdate,height,caps,goals,match_red_card,,
Christian CUEVA,Peru,8,Midfielder,11/23/1991,169.0 cm,48,8,0,,"insert into player values ('Christian CUEVA','Peru',8,'Midfielder',to_date('11/23/1991','mm/dd/yyyy'),'169.0 cm',48,8,0);"
Dusan TADIC,Serbia,10,Midfielder,11/20/1988,181.0 cm,56,12,0,,"insert into player values ('Dusan TADIC','Serbia',10,'Midfielder',to_date('11/20/1988','mm/dd/yyyy'),'181.0 cm',56,12,0);"
Jose CORONA,Mexico,1,Goalkeeper,1/26/1981,182.0 cm,54,0,NULL,,"insert into player values ('Jose CORONA','Mexico',1,'Goalkeeper',to_date('1/26/1981','mm/dd/yyyy'),'182.0 cm',54,0,NULL);"
Simeon NWANKWO,Nigeria,13,Forward,5/7/1992,197.0 cm,4,0,0,,"insert into player values ('Simeon NWANKWO','Nigeria',13,'Forward',to_date('5/7/1992','mm/dd/yyyy'),'197.0 cm',4,0,0);"
Giovani LO CELSO,Argentina,20,Midfielder,4/9/1996,177.0 cm,5,0,NULL,,"insert into player values ('Giovani LO CELSO','Argentina',20,'Midfielder',to_date('4/9/1996','mm/dd/yyyy'),'177.0 cm',5,0,NULL);"
Jon BODVARSSON,Iceland,22,Forward,5/25/1992,189.0 cm,39,2,0,,"insert into player values ('Jon BODVARSSON','Iceland',22,'Forward',to_date('5/25/1992','mm/dd/yyyy'),'189.0 cm',39,2,0);"
OH Bansuk,Korea Republic,4,Defender,5/20/1988,189.0 cm,2,0,NULL,,"insert into player values ('OH Bansuk','Korea Republic',4,'Defender',to_date('5/20/1988','mm/dd/yyyy'),'189.0 cm',2,0,NULL);"
Rami BEDOUI,Tunisia,6,Defender,1/19/1990,187.0 cm,11,3,0,,"insert into player values ('Rami BEDOUI','Tunisia',6,'Defender',to_date('1/19/1990','mm/dd/yyyy'),'187.0 cm',11,3,0);"
Adil RAMI,France,17,Defender,12/27/1985,190.0 cm,35,1,NULL,,"insert into player values ('Adil RAMI','France',17,'Defender',to_date('12/27/1985','mm/dd/yyyy'),'190.0 cm',35,1,NULL);"
Marvin PLATTENHARDT,Germany,2,Defender,1/26/1992,181.0 cm,7,0,0,,"insert into player values ('Marvin PLATTENHARDT','Germany',2,'Defender',to_date('1/26/1992','mm/dd/yyyy'),'181.0 cm',7,0,0);"
Shinji KAGAWA,Japan,10,Midfielder,3/17/1989,175.0 cm,95,31,0,,"insert into player values ('Shinji KAGAWA','Japan',10,'Midfielder',to_date('3/17/1989','mm/dd/yyyy'),'175.0 cm',95,31,0);"
OSAMA HAWSAWI,Saudi Arabia,3,Defender,3/31/1984,188.0 cm,138,7,0,,"insert into player values ('OSAMA HAWSAWI','Saudi Arabia',3,'Defender',to_date('3/31/1984','mm/dd/yyyy'),'188.0 cm',138,7,0);"
Luis ADVINCULA,Peru,17,Defender,3/2/1990,178.0 cm,68,0,0,,"insert into player values ('Luis ADVINCULA','Peru',17,'Defender',to_date('3/2/1990','mm/dd/yyyy'),'178.0 cm',68,0,0);"
MOHAMED ELNENY,Egypt,17,Midfielder,7/11/1992,181.0 cm,64,5,0,,"insert into player values ('MOHAMED ELNENY','Egypt',17,'Midfielder',to_date('7/11/1992','mm/dd/yyyy'),'181.0 cm',64,5,0);"
Nabil DIRAR,Morocco,17,Defender,2/25/1986,187.0 cm,40,5,0,,"insert into player values ('Nabil DIRAR','Morocco',17,'Defender',to_date('2/25/1986','mm/dd/yyyy'),'187.0 cm',40,5,0);"
Alfred NDIAYE,Senegal,13,Midfielder,3/6/1990,186.0 cm,18,1,0,,"insert into player values ('Alfred NDIAYE','Senegal',13,'Midfielder',to_date('3/6/1990','mm/dd/yyyy'),'186.0 cm',18,1,0);"
