player-name,team,jersey,position,Bdate,height,caps,goals,match_red_card,,
Cristian RODRIGUEZ,Uruguay,7,Midfielder,9/30/1985,178.0 cm,110,11,0,,"insert into player values ('Cristian RODRIGUEZ','Uruguay',7,'Midfielder',to_date('9/30/1985','mm/dd/yyyy'),'178.0 cm',110,11,0);"
Jonathan DOS SANTOS,Mexico,6,Midfielder,4/26/1990,173.0 cm,38,0,0,,"insert into player values ('Jonathan DOS SANTOS','Mexico',6,'Midfielder',to_date('4/26/1990','mm/dd/yyyy'),'173.0 cm',38,0,0);"
LEE Jaesung,Korea Republic,17,Midfielder,8/10/1992,180.0 cm,38,6,0,,"insert into player values ('LEE Jaesung','Korea Republic',17,'Midfielder',to_date('8/10/1992','mm/dd/yyyy'),'180.0 cm',38,6,0);"
CRISTIANO RONALDO,Portugal,7,Forward,2/5/1985,185.0 cm,154,85,0,,"insert into player values ('CRISTIANO RONALDO','Portugal',7,'Forward',to_date('2/5/1985','mm/dd/yyyy'),'185.0 cm',154,85,0);"
Ludwig AUGUSTINSSON,Sweden,6,Defender,4/21/1994,181.0 cm,20,1,0,,"insert into player values ('Ludwig AUGUSTINSSON','Sweden',6,'Defender',to_date('4/21/1994','mm/dd/yyyy'),'181.0 cm',20,1,0);"
Jannik VESTERGAARD,Denmark,3,Defender,8/3/1992,200.0 cm,16,1,NULL,,"insert into player values ('Jannik VESTERGAARD','Denmark',3,'Defender',to_date('8/3/1992','mm/dd/yyyy'),'200.0 cm',16,1,NULL);"
James MEREDITH,Australia,3,Defender,4/5/1988,179.0 cm,2,0,NULL,,"insert into player values ('James MEREDITH','Australia',3,'Defender',to_date('4/5/1988','mm/dd/yyyy'),'179.0 cm',2,0,NULL);"
Michael KROHN-DEHLI,Denmark,2,Midfielder,6/6/1983,171.0 cm,59,6,0,,"insert into player values ('Michael KROHN-DEHLI','Denmark',2,'Midfielder',to_date('6/6/1983','mm/dd/yyyy'),'171.0 cm',59,6,0);"
Andrew NABBOUT,Australia,11,Forward,12/17/1992,178.0 cm,6,1,0,,"insert into player values ('Andrew NABBOUT','Australia',11,'Forward',to_date('12/17/1992','mm/dd/yyyy'),'178.0 cm',6,1,0);"
JO Hyeonwoo,Korea Republic,23,Goalkeeper,9/25/1991,189.0 cm,9,0,0,,"insert into player values ('JO Hyeonwoo','Korea Republic',23,'Goalkeeper',to_date('9/25/1991','mm/dd/yyyy'),'189.0 cm',9,0,0);"
Lovre KALINIC,Croatia,12,Goalkeeper,4/3/1990,201.0 cm,12,0,0,,"insert into player values ('Lovre KALINIC','Croatia',12,'Goalkeeper',to_date('4/3/1990','mm/dd/yyyy'),'201.0 cm',12,0,0);"
Francis UZOHO,Nigeria,23,Goalkeeper,10/28/1998,196.0 cm,9,0,0,,"insert into player values ('Francis UZOHO','Nigeria',23,'Goalkeeper',to_date('10/28/1998','mm/dd/yyyy'),'196.0 cm',9,0,0);"
Reza GHOOCHANNEJHAD,IR Iran,16,Forward,9/20/1987,180.0 cm,43,17,NULL,,"insert into player values ('Reza GHOOCHANNEJHAD','IR Iran',16,'Forward',to_date('9/20/1987','mm/dd/yyyy'),'180.0 cm',43,17,NULL);"
Pontus JANSSON,Sweden,18,Defender,2/13/1991,194.0 cm,17,0,0,,"insert into player values ('Pontus JANSSON','Sweden',18,'Defender',to_date('2/13/1991','mm/dd/yyyy'),'194.0 cm',17,0,0);"
Alex IWOBI,Nigeria,18,Forward,5/3/1996,185.0 cm,21,5,0,,"insert into player values ('Alex IWOBI','Nigeria',18,'Forward',to_date('5/3/1996','mm/dd/yyyy'),'185.0 cm',21,5,0);"
Mile JEDINAK,Australia,15,Midfielder,8/3/1984,188.0 cm,79,20,0,,"insert into player values ('Mile JEDINAK','Australia',15,'Midfielder',to_date('8/3/1984','mm/dd/yyyy'),'188.0 cm',79,20,0);"
GONCALO GUEDES,Portugal,17,Forward,11/29/1996,179.0 cm,14,3,0,,"insert into player values ('GONCALO GUEDES','Portugal',17,'Forward',to_date('11/29/1996','mm/dd/yyyy'),'179.0 cm',14,3,0);"
Steven NZONZI,France,15,Midfielder,12/15/1988,197.0 cm,9,0,0,,"insert into player values ('Steven NZONZI','France',15,'Midfielder',to_date('12/15/1988','mm/dd/yyyy'),'197.0 cm',9,0,0);"
Valon BEHRAMI,Switzerland,11,Midfielder,4/19/1985,184.0 cm,83,2,0,,"insert into player values ('Valon BEHRAMI','Switzerland',11,'Midfielder',to_date('4/19/1985','mm/dd/yyyy'),'184.0 cm',83,2,0);"
Manuel DA COSTA,Morocco,4,Defender,5/6/1986,187.0 cm,30,2,0,,"insert into player values ('Manuel DA COSTA','Morocco',4,'Defender',to_date('5/6/1986','mm/dd/yyyy'),'187.0 cm',30,2,0);"
Yeltsin TEJEDA,Costa Rica,17,Midfielder,3/17/1992,179.0 cm,50,0,0,,"insert into player values ('Yeltsin TEJEDA','Costa Rica',17,'Midfielder',to_date('3/17/1992','mm/dd/yyyy'),'179.0 cm',50,0,0);"
Thorgan HAZARD,Belgium,16,Midfielder,3/29/1993,174.0 cm,13,1,0,,"insert into player values ('Thorgan HAZARD','Belgium',16,'Midfielder',to_date('3/29/1993','mm/dd/yyyy'),'174.0 cm',13,1,0);"
HWANG Heechan,Korea Republic,11,Forward,1/26/1996,177.0 cm,17,2,0,,"insert into player values ('HWANG Heechan','Korea Republic',11,'Forward',to_date('1/26/1996','mm/dd/yyyy'),'177.0 cm',17,2,0);"
WILLIAN,Brazil,19,Midfielder,8/9/1988,175.0 cm,62,8,0,,"insert into player values ('WILLIAN','Brazil',19,'Midfielder',to_date('8/9/1988','mm/dd/yyyy'),'175.0 cm',62,8,0);"
Xherdan SHAQIRI,Switzerland,23,Midfielder,10/10/1991,169.0 cm,74,21,0,,"insert into player values ('Xherdan SHAQIRI','Switzerland',23,'Midfielder',to_date('10/10/1991','mm/dd/yyyy'),'169.0 cm',74,21,0);"
Jan VERTONGHEN,Belgium,5,Defender,4/24/1987,189.0 cm,108,9,0,,"insert into player values ('Jan VERTONGHEN','Belgium',5,'Defender',to_date('4/24/1987','mm/dd/yyyy'),'189.0 cm',108,9,0);"
Kenneth OMERUO,Nigeria,22,Defender,10/17/1993,185.0 cm,40,0,0,,"insert into player values ('Kenneth OMERUO','Nigeria',22,'Defender',to_date('10/17/1993','mm/dd/yyyy'),'185.0 cm',40,0,0);"
Abdoulaye DIALLO,Senegal,1,Goalkeeper,3/30/1992,189.0 cm,16,0,NULL,,"insert into player values ('Abdoulaye DIALLO','Senegal',1,'Goalkeeper',to_date('3/30/1992','mm/dd/yyyy'),'189.0 cm',16,0,NULL);"
Ian SMITH,Costa Rica,4,Defender,3/6/1998,177.0 cm,5,0,0,,"insert into player values ('Ian SMITH','Costa Rica',4,'Defender',to_date('3/6/1998','mm/dd/yyyy'),'177.0 cm',5,0,0);"
Cristian ZAPATA,Colombia,2,Defender,9/30/1986,187.0 cm,53,2,0,,"insert into player values ('Cristian ZAPATA','Colombia',2,'Defender',to_date('9/30/1986','mm/dd/yyyy'),'187.0 cm',53,2,0);"
Antonio RUEDIGER,Germany,16,Defender,3/3/1993,191.0 cm,25,1,0,,"insert into player values ('Antonio RUEDIGER','Germany',16,'Defender',to_date('3/3/1993','mm/dd/yyyy'),'191.0 cm',25,1,0);"
Enzo PEREZ,Argentina,15,Midfielder,2/22/1986,178.0 cm,26,1,0,,"insert into player values ('Enzo PEREZ','Argentina',15,'Midfielder',to_date('2/22/1986','mm/dd/yyyy'),'178.0 cm',26,1,0);"
LEE Yong,Korea Republic,2,Defender,12/24/1986,180.0 cm,31,0,0,,"insert into player values ('LEE Yong','Korea Republic',2,'Defender',to_date('12/24/1986','mm/dd/yyyy'),'180.0 cm',31,0,0);"
Aleksandr GOLOVIN,Russia,17,Midfielder,5/30/1996,178.0 cm,23,3,0,,"insert into player values ('Aleksandr GOLOVIN','Russia',17,'Midfielder',to_date('5/30/1996','mm/dd/yyyy'),'178.0 cm',23,3,0);"
Amine HARIT,Morocco,18,Midfielder,6/18/1997,179.0 cm,8,0,0,,"insert into player values ('Amine HARIT','Morocco',18,'Midfielder',to_date('6/18/1997','mm/dd/yyyy'),'179.0 cm',8,0,0);"
Johan DJOUROU,Switzerland,20,Defender,1/18/1987,192.0 cm,75,2,0,,"insert into player values ('Johan DJOUROU','Switzerland',20,'Defender',to_date('1/18/1987','mm/dd/yyyy'),'192.0 cm',75,2,0);"
Mathew RYAN,Australia,1,Goalkeeper,4/8/1992,184.0 cm,47,0,0,,"insert into player values ('Mathew RYAN','Australia',1,'Goalkeeper',to_date('4/8/1992','mm/dd/yyyy'),'184.0 cm',47,0,0);"
MOHAMMED ALSAHLAWI,Saudi Arabia,10,Forward,1/10/1987,179.0 cm,42,28,0,,"insert into player values ('MOHAMMED ALSAHLAWI','Saudi Arabia',10,'Forward',to_date('1/10/1987','mm/dd/yyyy'),'179.0 cm',42,28,0);"
Niklas SUELE,Germany,15,Defender,9/3/1995,195.0 cm,12,0,0,,"insert into player values ('Niklas SUELE','Germany',15,'Defender',to_date('9/3/1995','mm/dd/yyyy'),'195.0 cm',12,0,0);"
Vincent KOMPANY,Belgium,4,Defender,4/10/1986,190.0 cm,82,4,0,,"insert into player values ('Vincent KOMPANY','Belgium',4,'Defender',to_date('4/10/1986','mm/dd/yyyy'),'190.0 cm',82,4,0);"
Youri TIELEMANS,Belgium,17,Midfielder,5/7/1997,176.0 cm,13,0,0,,"insert into player values ('Youri TIELEMANS','Belgium',17,'Midfielder',to_date('5/7/1997','mm/dd/yyyy'),'176.0 cm',13,0,0);"
KOKE,Spain,8,Midfielder,1/8/1992,176.0 cm,43,0,0,,"insert into player values ('KOKE','Spain',8,'Midfielder',to_date('1/8/1992','mm/dd/yyyy'),'176.0 cm',43,0,0);"
Mahdi TORABI,IR Iran,2,Midfielder,9/10/1994,185.0 cm,16,4,NULL,,"insert into player values ('Mahdi TORABI','IR Iran',2,'Midfielder',to_date('9/10/1994','mm/dd/yyyy'),'185.0 cm',16,4,NULL);"
Birkir SAEVARSSON,Iceland,2,Defender,11/11/1984,186.0 cm,82,1,0,,"insert into player values ('Birkir SAEVARSSON','Iceland',2,'Defender',to_date('11/11/1984','mm/dd/yyyy'),'186.0 cm',82,1,0);"
Andreas CORNELIUS,Denmark,21,Forward,3/16/1993,195.0 cm,21,4,0,,"insert into player values ('Andreas CORNELIUS','Denmark',21,'Forward',to_date('3/16/1993','mm/dd/yyyy'),'195.0 cm',21,4,0);"
DANILO,Brazil,14,Defender,7/15/1991,184.0 cm,19,0,0,,"insert into player values ('DANILO','Brazil',14,'Defender',to_date('7/15/1991','mm/dd/yyyy'),'184.0 cm',19,0,0);"
Andrija ZIVKOVIC,Serbia,7,Midfielder,7/11/1996,169.0 cm,11,0,0,,"insert into player values ('Andrija ZIVKOVIC','Serbia',7,'Midfielder',to_date('7/11/1996','mm/dd/yyyy'),'169.0 cm',11,0,0);"
Adem LJAJIC,Serbia,22,Midfielder,9/29/1991,182.0 cm,33,6,0,,"insert into player values ('Adem LJAJIC','Serbia',22,'Midfielder',to_date('9/29/1991','mm/dd/yyyy'),'182.0 cm',33,6,0);"
Dawid KOWNACKI,Poland,23,Forward,3/14/1997,185.0 cm,4,1,0,,"insert into player values ('Dawid KOWNACKI','Poland',23,'Forward',to_date('3/14/1997','mm/dd/yyyy'),'185.0 cm',4,1,0);"
Michael LANG,Switzerland,6,Defender,2/8/1991,185.0 cm,27,2,1,,"insert into player values ('Michael LANG','Switzerland',6,'Defender',to_date('2/8/1991','mm/dd/yyyy'),'185.0 cm',27,2,1);"
Adama MBENGUE,Senegal,2,Defender,12/1/1993,180.0 cm,3,0,NULL,,"insert into player values ('Adama MBENGUE','Senegal',2,'Defender',to_date('12/1/1993','mm/dd/yyyy'),'180.0 cm',3,0,NULL);"
Bartosz BERESZYNSKI,Poland,18,Defender,7/12/1992,182.0 cm,11,0,0,,"insert into player values ('Bartosz BERESZYNSKI','Poland',18,'Defender',to_date('7/12/1992','mm/dd/yyyy'),'182.0 cm',11,0,0);"
Takashi INUI,Japan,14,Midfielder,6/2/1988,169.0 cm,31,6,0,,"insert into player values ('Takashi INUI','Japan',14,'Midfielder',to_date('6/2/1988','mm/dd/yyyy'),'169.0 cm',31,6,0);"
SHIKABALA,Egypt,18,Forward,3/5/1986,183.0 cm,32,2,NULL,,"insert into player values ('SHIKABALA','Egypt',18,'Forward',to_date('3/5/1986','mm/dd/yyyy'),'183.0 cm',32,2,NULL);"
Roman BUERKI,Switzerland,21,Goalkeeper,11/14/1990,188.0 cm,9,0,NULL,,"insert into player values ('Roman BUERKI','Switzerland',21,'Goalkeeper',to_date('11/14/1990','mm/dd/yyyy'),'188.0 cm',9,0,NULL);"
BETO,Portugal,22,Goalkeeper,5/1/1982,183.0 cm,14,0,NULL,,"insert into player values ('BETO','Portugal',22,'Goalkeeper',to_date('5/1/1982','mm/dd/yyyy'),'183.0 cm',14,0,NULL);"
Olivier GIROUD,France,9,Forward,9/30/1986,193.0 cm,81,31,0,,"insert into player values ('Olivier GIROUD','France',9,'Forward',to_date('9/30/1986','mm/dd/yyyy'),'193.0 cm',81,31,0);"
Martin CAMPANA,Uruguay,12,Goalkeeper,5/29/1989,184.0 cm,1,0,NULL,,"insert into player values ('Martin CAMPANA','Uruguay',12,'Goalkeeper',to_date('5/29/1989','mm/dd/yyyy'),'184.0 cm',1,0,NULL);"
Edison FLORES,Peru,20,Forward,5/14/1994,170.0 cm,32,9,0,,"insert into player values ('Edison FLORES','Peru',20,'Forward',to_date('5/14/1994','mm/dd/yyyy'),'170.0 cm',32,9,0);"
Eden HAZARD,Belgium,10,Forward,1/7/1991,173.0 cm,92,25,0,,"insert into player values ('Eden HAZARD','Belgium',10,'Forward',to_date('1/7/1991','mm/dd/yyyy'),'173.0 cm',92,25,0);"
John Obi MIKEL,Nigeria,10,Midfielder,4/22/1987,188.0 cm,85,6,0,,"insert into player values ('John Obi MIKEL','Nigeria',10,'Midfielder',to_date('4/22/1987','mm/dd/yyyy'),'188.0 cm',85,6,0);"
Erick GUTIERREZ,Mexico,5,Midfielder,6/15/1995,176.0 cm,8,0,NULL,,"insert into player values ('Erick GUTIERREZ','Mexico',5,'Midfielder',to_date('6/15/1995','mm/dd/yyyy'),'176.0 cm',8,0,NULL);"
Igor SMOLNIKOV,Russia,23,Defender,8/8/1988,179.0 cm,28,0,1,,"insert into player values ('Igor SMOLNIKOV','Russia',23,'Defender',to_date('8/8/1988','mm/dd/yyyy'),'179.0 cm',28,0,1);"
BRUNO FERNANDES,Portugal,16,Midfielder,9/8/1994,183.0 cm,8,1,0,,"insert into player values ('BRUNO FERNANDES','Portugal',16,'Midfielder',to_date('9/8/1994','mm/dd/yyyy'),'183.0 cm',8,1,0);"
Nicolai JORGENSEN,Denmark,9,Forward,1/15/1991,194.0 cm,34,8,0,,"insert into player values ('Nicolai JORGENSEN','Denmark',9,'Forward',to_date('1/15/1991','mm/dd/yyyy'),'194.0 cm',34,8,0);"
Gabriel TORRES,Panama,9,Forward,10/31/1988,180.0 cm,74,14,0,,"insert into player values ('Gabriel TORRES','Panama',9,'Forward',to_date('10/31/1988','mm/dd/yyyy'),'180.0 cm',74,14,0);"
OMAR HAWSAWI,Saudi Arabia,5,Defender,9/27/1985,185.0 cm,41,3,0,,"insert into player values ('OMAR HAWSAWI','Saudi Arabia',5,'Defender',to_date('9/27/1985','mm/dd/yyyy'),'185.0 cm',41,3,0);"
Faycal FAJR,Morocco,11,Midfielder,8/1/1988,178.0 cm,26,2,0,,"insert into player values ('Faycal FAJR','Morocco',11,'Midfielder',to_date('8/1/1988','mm/dd/yyyy'),'178.0 cm',26,2,0);"
Youssouf SABALY,Senegal,12,Defender,3/5/1993,174.0 cm,9,0,0,,"insert into player values ('Youssouf SABALY','Senegal',12,'Defender',to_date('3/5/1993','mm/dd/yyyy'),'174.0 cm',9,0,0);"
Danijel SUBASIC,Croatia,23,Goalkeeper,10/27/1984,191.0 cm,44,0,0,,"insert into player values ('Danijel SUBASIC','Croatia',23,'Goalkeeper',to_date('10/27/1984','mm/dd/yyyy'),'191.0 cm',44,0,0);"
Jonas KNUDSEN,Denmark,5,Defender,9/16/1992,187.0 cm,4,0,0,,"insert into player values ('Jonas KNUDSEN','Denmark',5,'Defender',to_date('9/16/1992','mm/dd/yyyy'),'187.0 cm',4,0,0);"
Kevin TRAPP,Germany,12,Goalkeeper,7/8/1990,189.0 cm,3,0,NULL,,"insert into player values ('Kevin TRAPP','Germany',12,'Goalkeeper',to_date('7/8/1990','mm/dd/yyyy'),'189.0 cm',3,0,NULL);"
ABDULMALEK ALKHAIBRI,Saudi Arabia,11,Midfielder,3/13/1986,177.0 cm,33,0,NULL,,"insert into player values ('ABDULMALEK ALKHAIBRI','Saudi Arabia',11,'Midfielder',to_date('3/13/1986','mm/dd/yyyy'),'177.0 cm',33,0,NULL);"
Jonas HECTOR,Germany,3,Defender,5/27/1990,185.0 cm,40,3,0,,"insert into player values ('Jonas HECTOR','Germany',3,'Defender',to_date('5/27/1990','mm/dd/yyyy'),'185.0 cm',40,3,0);"
Khalid BOUTAIB,Morocco,13,Forward,4/24/1987,190.0 cm,22,10,0,,"insert into player values ('Khalid BOUTAIB','Morocco',13,'Forward',to_date('4/24/1987','mm/dd/yyyy'),'190.0 cm',22,10,0);"
Filip KOSTIC,Serbia,17,Midfielder,11/1/1992,184.0 cm,26,2,0,,"insert into player values ('Filip KOSTIC','Serbia',17,'Midfielder',to_date('11/1/1992','mm/dd/yyyy'),'184.0 cm',26,2,0);"
MOHAMED SALAH,Egypt,10,Forward,6/15/1992,175.0 cm,58,37,0,,"insert into player values ('MOHAMED SALAH','Egypt',10,'Forward',to_date('6/15/1992','mm/dd/yyyy'),'175.0 cm',58,37,0);"
Kelechi IHEANACHO,Nigeria,14,Forward,3/10/1996,183.0 cm,20,8,0,,"insert into player values ('Kelechi IHEANACHO','Nigeria',14,'Forward',to_date('3/10/1996','mm/dd/yyyy'),'183.0 cm',20,8,0);"
MARCELO,Brazil,12,Defender,5/12/1988,174.0 cm,59,6,0,,"insert into player values ('MARCELO','Brazil',12,'Defender',to_date('5/12/1988','mm/dd/yyyy'),'174.0 cm',59,6,0);"
Marcos URENA,Costa Rica,21,Forward,3/5/1990,181.0 cm,64,14,0,,"insert into player values ('Marcos URENA','Costa Rica',21,'Forward',to_date('3/5/1990','mm/dd/yyyy'),'181.0 cm',64,14,0);"
Ilya KUTEPOV,Russia,3,Defender,7/29/1993,190.0 cm,12,0,0,,"insert into player values ('Ilya KUTEPOV','Russia',3,'Defender',to_date('7/29/1993','mm/dd/yyyy'),'190.0 cm',12,0,0);"
Sadio MANE,Senegal,10,Forward,4/10/1992,175.0 cm,55,15,0,,"insert into player values ('Sadio MANE','Senegal',10,'Forward',to_date('4/10/1992','mm/dd/yyyy'),'175.0 cm',55,15,0);"
Jesus CORONA,Mexico,17,Midfielder,1/6/1993,174.0 cm,38,7,0,,"insert into player values ('Jesus CORONA','Mexico',17,'Midfielder',to_date('1/6/1993','mm/dd/yyyy'),'174.0 cm',38,7,0);"
RUI PATRICIO,Portugal,1,Goalkeeper,2/15/1988,189.0 cm,73,0,0,,"insert into player values ('RUI PATRICIO','Portugal',1,'Goalkeeper',to_date('2/15/1988','mm/dd/yyyy'),'189.0 cm',73,0,0);"
Sergio BUSQUETS,Spain,5,Midfielder,7/16/1988,189.0 cm,107,2,0,,"insert into player values ('Sergio BUSQUETS','Spain',5,'Midfielder',to_date('7/16/1988','mm/dd/yyyy'),'189.0 cm',107,2,0);"
Ahmed TAGNAOUTI,Morocco,22,Goalkeeper,4/5/1996,186.0 cm,5,0,NULL,,"insert into player values ('Ahmed TAGNAOUTI','Morocco',22,'Goalkeeper',to_date('4/5/1996','mm/dd/yyyy'),'186.0 cm',5,0,NULL);"
Vedran CORLUKA,Croatia,5,Defender,2/5/1986,192.0 cm,103,4,0,,"insert into player values ('Vedran CORLUKA','Croatia',5,'Defender',to_date('2/5/1986','mm/dd/yyyy'),'192.0 cm',103,4,0);"
Rurik GISLASON,Iceland,19,Midfielder,2/25/1988,184.0 cm,49,3,0,,"insert into player values ('Rurik GISLASON','Iceland',19,'Midfielder',to_date('2/25/1988','mm/dd/yyyy'),'184.0 cm',49,3,0);"
Koen CASTEELS,Belgium,13,Goalkeeper,6/25/1992,197.0 cm,0,0,NULL,,"insert into player values ('Koen CASTEELS','Belgium',13,'Goalkeeper',to_date('6/25/1992','mm/dd/yyyy'),'197.0 cm',0,0,NULL);"
Uros SPAJIC,Serbia,5,Defender,2/13/1993,188.0 cm,5,0,NULL,,"insert into player values ('Uros SPAJIC','Serbia',5,'Defender',to_date('2/13/1993','mm/dd/yyyy'),'188.0 cm',5,0,NULL);"
Steve MANDANDA,France,16,Goalkeeper,3/28/1985,187.0 cm,28,0,0,,"insert into player values ('Steve MANDANDA','France',16,'Goalkeeper',to_date('3/28/1985','mm/dd/yyyy'),'187.0 cm',28,0,0);"
AHMED ELMOHAMADY,Egypt,3,Defender,9/9/1987,183.0 cm,84,2,NULL,,"insert into player values ('AHMED ELMOHAMADY','Egypt',3,'Defender',to_date('9/9/1987','mm/dd/yyyy'),'183.0 cm',84,2,NULL);"
RAMADAN SOBHY,Egypt,14,Forward,1/23/1997,183.0 cm,28,1,0,,"insert into player values ('RAMADAN SOBHY','Egypt',14,'Forward',to_date('1/23/1997','mm/dd/yyyy'),'183.0 cm',28,1,0);"
GABRIEL JESUS,Brazil,9,Forward,4/3/1997,175.0 cm,22,10,0,,"insert into player values ('GABRIEL JESUS','Brazil',9,'Forward',to_date('4/3/1997','mm/dd/yyyy'),'175.0 cm',22,10,0);"
Anderson SANTAMARIA,Peru,4,Defender,1/10/1992,183.0 cm,8,0,0,,"insert into player values ('Anderson SANTAMARIA','Peru',4,'Defender',to_date('1/10/1992','mm/dd/yyyy'),'183.0 cm',8,0,0);"
Jefferson  LERMA,Colombia,16,Midfielder,10/25/1994,179.0 cm,9,0,0,,"insert into player values ('Jefferson  LERMA','Colombia',16,'Midfielder',to_date('10/25/1994','mm/dd/yyyy'),'179.0 cm',9,0,0);"
SHERIF EKRAMY,Egypt,16,Goalkeeper,7/10/1983,193.0 cm,23,0,NULL,,"insert into player values ('SHERIF EKRAMY','Egypt',16,'Goalkeeper',to_date('7/10/1983','mm/dd/yyyy'),'193.0 cm',23,0,NULL);"
Rodney WALLACE,Costa Rica,13,Midfielder,6/17/1988,180.0 cm,29,4,0,,"insert into player values ('Rodney WALLACE','Costa Rica',13,'Midfielder',to_date('6/17/1988','mm/dd/yyyy'),'180.0 cm',29,4,0);"
Blerim DZEMAILI,Switzerland,15,Midfielder,4/12/1986,180.0 cm,69,11,0,,"insert into player values ('Blerim DZEMAILI','Switzerland',15,'Midfielder',to_date('4/12/1986','mm/dd/yyyy'),'180.0 cm',69,11,0);"
Ola TOIVONEN,Sweden,20,Forward,7/3/1986,192.0 cm,64,14,0,,"insert into player values ('Ola TOIVONEN','Sweden',20,'Forward',to_date('7/3/1986','mm/dd/yyyy'),'192.0 cm',64,14,0);"
KIM Seunggyu,Korea Republic,1,Goalkeeper,9/30/1990,187.0 cm,33,0,NULL,,"insert into player values ('KIM Seunggyu','Korea Republic',1,'Goalkeeper',to_date('9/30/1990','mm/dd/yyyy'),'187.0 cm',33,0,NULL);"
David DE GEA,Spain,1,Goalkeeper,11/7/1990,190.0 cm,33,0,0,,"insert into player values ('David DE GEA','Spain',1,'Goalkeeper',to_date('11/7/1990','mm/dd/yyyy'),'190.0 cm',33,0,0);"
Jose GIMENEZ,Uruguay,2,Defender,1/20/1995,185.0 cm,46,6,0,,"insert into player values ('Jose GIMENEZ','Uruguay',2,'Defender',to_date('1/20/1995','mm/dd/yyyy'),'185.0 cm',46,6,0);"
Breel EMBOLO,Switzerland,7,Forward,2/14/1997,184.0 cm,29,3,0,,"insert into player values ('Breel EMBOLO','Switzerland',7,'Forward',to_date('2/14/1997','mm/dd/yyyy'),'184.0 cm',29,3,0);"
Hugo LLORIS,France,1,Goalkeeper,12/26/1986,188.0 cm,104,0,0,,"insert into player values ('Hugo LLORIS','France',1,'Goalkeeper',to_date('12/26/1986','mm/dd/yyyy'),'188.0 cm',104,0,0);"
Yvon MVOGO,Switzerland,12,Goalkeeper,6/6/1994,186.0 cm,0,0,NULL,,"insert into player values ('Yvon MVOGO','Switzerland',12,'Goalkeeper',to_date('6/6/1994','mm/dd/yyyy'),'186.0 cm',0,0,NULL);"
Jose CARVALLO,Peru,21,Goalkeeper,3/1/1986,182.0 cm,6,0,NULL,,"insert into player values ('Jose CARVALLO','Peru',21,'Goalkeeper',to_date('3/1/1986','mm/dd/yyyy'),'182.0 cm',6,0,NULL);"
Hannes HALLDORSSON,Iceland,1,Goalkeeper,4/27/1984,193.0 cm,52,0,0,,"insert into player values ('Hannes HALLDORSSON','Iceland',1,'Goalkeeper',to_date('4/27/1984','mm/dd/yyyy'),'193.0 cm',52,0,0);"
Hamdi NAGUEZ,Tunisia,21,Defender,10/28/1992,186.0 cm,19,5,0,,"insert into player values ('Hamdi NAGUEZ','Tunisia',21,'Defender',to_date('10/28/1992','mm/dd/yyyy'),'186.0 cm',19,5,0);"
Khadim NDIAYE,Senegal,16,Goalkeeper,4/5/1985,185.0 cm,45,0,0,,"insert into player values ('Khadim NDIAYE','Senegal',16,'Goalkeeper',to_date('4/5/1985','mm/dd/yyyy'),'185.0 cm',45,0,0);"
Michy BATSHUAYI,Belgium,21,Forward,10/2/1993,185.0 cm,19,8,0,,"insert into player values ('Michy BATSHUAYI','Belgium',21,'Forward',to_date('10/2/1993','mm/dd/yyyy'),'185.0 cm',19,8,0);"
Fakhreddine BEN YOUSSEF,Tunisia,8,Forward,6/23/1991,189.0 cm,42,6,0,,"insert into player values ('Fakhreddine BEN YOUSSEF','Tunisia',8,'Forward',to_date('6/23/1991','mm/dd/yyyy'),'189.0 cm',42,6,0);"
Milan BADELJ,Croatia,19,Midfielder,2/25/1989,186.0 cm,41,2,0,,"insert into player values ('Milan BADELJ','Croatia',19,'Midfielder',to_date('2/25/1989','mm/dd/yyyy'),'186.0 cm',41,2,0);"
Mbaye NIANG,Senegal,19,Forward,12/19/1994,184.0 cm,11,1,0,,"insert into player values ('Mbaye NIANG','Senegal',19,'Forward',to_date('12/19/1994','mm/dd/yyyy'),'184.0 cm',11,1,0);"
Luis TEJADA,Panama,18,Forward,3/28/1982,183.0 cm,106,43,0,,"insert into player values ('Luis TEJADA','Panama',18,'Forward',to_date('3/28/1982','mm/dd/yyyy'),'183.0 cm',106,43,0);"
Yuto NAGATOMO,Japan,5,Defender,9/12/1986,170.0 cm,109,3,0,,"insert into player values ('Yuto NAGATOMO','Japan',5,'Defender',to_date('9/12/1986','mm/dd/yyyy'),'170.0 cm',109,3,0);"
Jesus GALLARDO,Mexico,23,Midfielder,8/15/1994,177.0 cm,27,0,0,,"insert into player values ('Jesus GALLARDO','Mexico',23,'Midfielder',to_date('8/15/1994','mm/dd/yyyy'),'177.0 cm',27,0,0);"
Ivan STRINIC,Croatia,3,Defender,7/17/1987,186.0 cm,49,0,0,,"insert into player values ('Ivan STRINIC','Croatia',3,'Defender',to_date('7/17/1987','mm/dd/yyyy'),'186.0 cm',49,0,0);"
Anton MIRANCHUK,Russia,16,Midfielder,10/17/1995,182.0 cm,6,0,NULL,,"insert into player values ('Anton MIRANCHUK','Russia',16,'Midfielder',to_date('10/17/1995','mm/dd/yyyy'),'182.0 cm',6,0,NULL);"
Gylfi SIGURDSSON,Iceland,10,Midfielder,9/8/1989,186.0 cm,60,20,0,,"insert into player values ('Gylfi SIGURDSSON','Iceland',10,'Midfielder',to_date('9/8/1989','mm/dd/yyyy'),'186.0 cm',60,20,0);"
