MatchID,Team1,Team2
50,France,Argentina
49,Uruguay,Portugal
51,Spain,Russia
52,Croatia,Denmark
53,Brazil,Mexico
54,Belgium,Japan
55,Sweden,Switzerland
56,Colombia,England
57,Uruguay,France
58,Brazil,Belgium
60,Sweden,England
59,Russia,Croatia
61,France,Belgium
62,Croatia,England
63,Belgium,England
64,France,Croatia
