Awards,Sponsor,Team_winner,Pteam_winner,Pjersey_winner
World Cup,FIFA,France,NULL,NULL
Golden Ball,ADIDAS,NULL,Croatia,10
Golden Boot,ADIDAS,NULL,England,9
Golden Glove,ADIDAS,NULL,Belgium,1
Young Player,FIFA,NULL,France,10
Fair Play,FIFA,Spain,NULL,NULL
